"","full_name","player_team","season","games_played","fantasy_position","player_fpoint_season","player_fpoint_per_game","player_share_season","player_share_pergame","player_share_pergame_perc","team_fp_season","team_fp_pergame"
"465","Ben Ronke","Sydney",2018,17,"Forward",1101,64.76,0.0322,0.0417,4.17,34154,1552.45
"466","Ben Ronke","Sydney",2019,13,"Forward",631,48.54,0.0184,0.0312,3.12,34277,1558.05
"467","Ben Ronke","Sydney",2020,2,"Forward",89,44.5,0.0046,0.0389,3.89,19445,1143.82
"468","Ben Ronke","Sydney",2021,2,NA,15,7.5,4e-04,0.0047,0.47,34749,1579.5
"469","Ben Ronke","Sydney",2022,8,"Forward",318,39.75,0.0093,0.0255,2.55,34236,1556.18
"470","Ben Ross","Hawthorn",2014,4,NA,122,30.5,0.0033,0.0184,1.84,36544,1661.09
"471","Ben Rutten","Adelaide",2014,14,"Back",614,43.86,0.018,0.0282,2.82,34197,1554.41
"472","Ben Sinclair","Collingwood",2014,5,"Back",271,54.2,0.0081,0.0356,3.56,33450,1520.45
"473","Ben Sinclair","Collingwood",2015,6,"Back",326,54.33,0.0094,0.0344,3.44,34780,1580.91
"474","Ben Sinclair","Collingwood",2016,13,"Back",742,57.08,0.0207,0.035,3.5,35857,1629.86
"475","Ben Stratton","Hawthorn",2014,12,"Back",631,52.58,0.0173,0.0317,3.17,36544,1661.09
"476","Ben Stratton","Hawthorn",2015,21,"Back",1052,50.1,0.0281,0.0294,2.94,37469,1703.14
"477","Ben Stratton","Hawthorn",2016,19,"Back",991,52.16,0.0279,0.0323,3.23,35477,1612.59
"478","Ben Stratton","Hawthorn",2017,8,"Back",428,53.5,0.0116,0.0319,3.19,36912,1677.82
"479","Ben Stratton","Hawthorn",2018,22,"Back",1098,49.91,0.0308,0.0308,3.08,35655,1620.68
"480","Ben Stratton","Hawthorn",2019,19,"Back",708,37.26,0.0206,0.0238,2.38,34439,1565.41
